# Server version 0.08 running on web112016.wireless.mcgill.ca:8123
# Game ID: 267
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 08 22:33:34 EDT 2014
# Player 1: Player-0, '260507016', running on 142.157.166.8
# Player 2: Player-1, 's260488774Player', running on web112016.wireless.mcgill.ca
# Player 3: Player-2, '260507016', running on 142.157.166.8
# Player 4: Player-3, 'random', running on web112016.wireless.mcgill.ca
START Player-0 260507016
START Player-1 s260488774Player
START Player-2 260507016
START Player-3 random
1 null null
2 (2,11) (4,13)
2 (4,13) (6,11)
0 null null
3 (3,2) (2,1)
0 (15,7) (15,8)
1 (6,9) (5,10)
2 (5,12) (7,10)
0 null null
3 (7,8) (7,6)
3 (7,6) (5,6)
3 (5,6) (5,4)
3 (5,4) (3,4)
3 (3,4) (3,2)
3 (3,2) (1,0)
3 null null
0 (14,6) (15,7)
1 (9,6) (7,8)
1 null null
2 (6,11) (8,9)
2 (8,9) (10,9)
2 (10,9) (12,7)
2 (12,7) (14,7)
0 null null
3 (1,0) (0,0)
0 (15,8) (15,10)
0 null null
1 (11,4) (9,6)
1 null null
2 (14,7) (15,6)
3 (1,2) (1,0)
3 null null
0 (15,9) (15,11)
0 (15,11) (13,13)
0 null null
1 (13,2) (11,4)
1 null null
2 (7,10) (8,9)
3 (1,0) (1,2)
3 null null
0 (13,13) (14,14)
1 (8,7) (6,9)
1 null null
2 (8,9) (10,9)
2 (10,9) (12,7)
2 (12,7) (14,7)
0 null null
3 (2,2) (2,0)
3 null null
0 (15,10) (15,11)
1 (10,5) (8,7)
1 null null
2 (15,5) (15,3)
0 null null
3 (4,4) (2,2)
3 null null
0 (15,7) (15,8)
1 (12,3) (10,5)
1 null null
2 (13,7) (15,7)
2 (15,7) (15,5)
0 null null
3 (6,6) (4,4)
3 null null
0 (11,14) (12,14)
1 (3,11) (2,12)
2 (15,4) (15,2)
0 null null
3 (8,8) (6,6)
3 null null
0 (14,12) (14,13)
1 (2,12) (1,13)
2 (15,3) (15,1)
0 null null
3 (10,10) (8,8)
3 null null
0 (15,8) (15,9)
1 (2,13) (0,15)
1 null null
2 (15,6) (15,4)
0 null null
3 (2,0) (1,0)
0 (15,9) (15,10)
1 (4,11) (2,13)
1 null null
2 (14,7) (15,6)
3 (7,7) (7,9)
3 null null
0 (15,10) (14,11)
1 (6,9) (4,11)
1 null null
2 (15,5) (15,3)
0 null null
3 (7,9) (7,7)
3 null null
0 (14,11) (14,12)
1 (8,7) (6,9)
1 null null
2 (13,0) (15,0)
0 null null
3 (1,0) (2,0)
0 (15,11) (13,13)
0 null null
1 (10,5) (8,7)
1 null null
2 (13,4) (14,3)
3 (2,0) (1,0)
0 null null
1 (11,4) (10,5)
2 (15,4) (13,2)
2 (13,2) (13,0)
0 null null
3 (9,9) (9,8)
0 null null
1 (1,14) (1,12)
1 null null
2 (13,5) (14,4)
3 (9,8) (7,6)
3 (7,6) (5,6)
3 (5,6) (5,4)
3 (5,4) (3,4)
3 (3,4) (3,2)
3 null null
0 null null
1 (3,12) (1,14)
1 null null
2 (14,4) (14,2)
2 (14,2) (12,0)
0 null null
3 (3,2) (3,1)
0 null null
1 (5,10) (3,12)
1 null null
2 (11,8) (12,7)
3 (4,4) (4,3)
0 null null
